Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
Brandon Clarke,MEM,"SF,PF,C",13.2,7,1.5,1.3,0.7,0.615,0.661,0.2,69,26.2,0.8,6.98,2.03
Will Barton,WAS,"SG,SF",13.2,4.1,3.5,0.3,0.7,0.43,0.798,1.9,72,29.3,1.7,12.62,1.79
P.J. Washington,CHA,"PF,C",12.7,6.2,2.6,1.1,1,0.459,0.723,1.8,72,30.3,1.7,11.80,2.30
Kentavious Caldwell-Pope,DEN,"PG,SG,SF",12.6,3.2,1.8,0.3,1.1,0.437,0.897,2,76,29.6,1.2,10.78,2.00
Bones Hyland,DEN,"PG,SG",12.6,3,3.6,0.4,0.8,0.422,0.858,2.4,71,23.9,1.5,15.30,3.50
De'Andre Hunter,ATL,"SF,PF DTD",12.6,3.6,1.4,0.4,0.7,0.451,0.788,1.6,68,30.9,1.4,13.00,3.70
Monte Morris,WAS,"PG,SG",12.5,2.9,6,0.2,0.8,0.472,0.864,1.7,74,29.8,1.2,10.31,1.12
Kevin Love,CLE,"PF,C",12.3,8.1,2.1,0.2,0.4,0.41,0.827,2.2,65,23.2,1.5,10.28,2.68
Kelly Olynyk,DET,"PF,C",12.3,6,4,0.7,1.2,0.477,0.757,1.1,70,26.3,2.1,12.80,3.50
Marcus Smart,BOS,"PG,SG DTD",12.2,3.9,5.6,0.3,1.6,0.416,0.801,1.7,73,31.6,2.2,10.10,2.52
Kendrick Nunn,LAL,"PG,SG",12.1,2.1,2.3,0.3,0.9,0.459,0.866,1.9,63,25.3,1,11.80,1.10
Kevin Huerter,SAC,"SG,SF",12.1,3.3,2.7,0.4,0.7,0.443,0.815,2.2,74,28.9,1.2,10.27,0.70
Brook Lopez,MIL,C,12,4.6,0.7,1.3,0.6,0.477,0.879,1.4,66,25.2,1,10.08,1.77
Tre Jones,SAS,PG DTD,12,3,6.6,0.1,1,0.47,0.801,0.7,71,29.1,1.3,10.90,2.90
Immanuel Quickley,NYK,PG,11.9,3.2,3.7,0,0.7,0.41,0.879,1.7,77,23.2,1.5,14.90,4.30
